year,month,day,title,links,year_gregorian,month_gregorian,day_gregorian,event_link,event_link_english,title_english,Politics,Social,Natural Disaster,Science,Art,Sports
1318,6,11,به دنبال حمله آلمان به لهستان در تهران اعلامیه ای منتشر شد و دولت ایران اعلام بیطرفی کرد,[],1939,9,3,,,A statement was issued following a German attack on Poland in Tehran and the Iranian government declared neutral,1.0,,,,,
1318,8,3,با برکناری محمود جم، احمد متین دفتری با حکم رضاشاه پهلوی نخست‌وزیر شد.,"[{'text': 'احمد متین دفتری', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D9%85%D8%AA%DB%8C%D9%86%E2%80%8C%D8%AF%D9%81%D8%AA%D8%B1%DB%8C'}, {'text': 'رضاشاه پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D8%B4%D8%A7%D9%87'}, {'text': 'محمود جم', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%AC%D9%85'}]",1939,10,26,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D9%85%D8%AA%DB%8C%D9%86%E2%80%8C%D8%AF%D9%81%D8%AA%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Ahmad_Matin-Daftari,Ahmad Matin-Daftari,1.0,,,,,
1319,2,4,اولین فرستنده رادیویی ایران در تهران تأسیس شد. این فرستنده رادیویی تنها هشت ساعت برنامه از جمله اخبارو موسیقی ایرانی را پخش می‌کرد,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1940,4,24,,,"The first Iranian radio transmitter was established in Tehran. This radio transmitter played only eight hours of programs, including news of Iranian music",,,,,1.0,
1319,10,5,برای نخستین بار در ایران به سبک اروپایی در اصفهان از مردم سرشماری به عمل آمد و ۲۰۴٬۶۰۰ تن را ساکن شهر اصفهان گزارش کردند,"[{'text': 'اصفهان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86'}]",1940,12,26,,,"For the first time in Iran style in Isfahan, the census was held in Isfahan and reported 1.5 people in Isfahan.",,,,,,
1320,4,20,انتقال میلاد جهانبازی از اسلام آباد (شاه آباد) به اصفهان شهرستان بزمه,[],1941,7,11,,,Milad Jahanbazi from Islamabad (Shah Abad) to Isfahan Bozmeh city,,,,,,
1320,5,7,دولت ایران در پاسخ به اخطاریه ۱۳ روز پیش بریتانیا و شوروی که اتباع آلمانی باید اخراج شوند گفت جای نگرانی نداشته باشند.,"[{'text': 'بریتانیا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%B1%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D8%A7'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'شوروی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF_%D8%AC%D9%85%D8%A7%D9%87%DB%8C%D8%B1_%D8%B4%D9%88%D8%B1%D9%88%DB%8C'}]",1941,7,29,,,"The Iranian government said in response to the notice of the United Kingdom and the Soviet Union that German nationals should be fired, saying they would not have to worry.",1.0,,,,,
1320,6,3,آغاز اشغال ایران در جنگ جهانی دوم,"[{'text': 'اشغال ایران در جنگ جهانی دوم', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B4%D8%BA%D8%A7%D9%84_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D8%AF%D8%B1_%D8%AC%D9%86%DA%AF_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%D8%AF%D9%88%D9%85'}]",1941,8,25,https://fa.wikipedia.org/wiki/%D8%A7%D8%B4%D8%BA%D8%A7%D9%84_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D8%AF%D8%B1_%D8%AC%D9%86%DA%AF_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%D8%AF%D9%88%D9%85,https://en.wikipedia.org/wiki/Anglo-Soviet_invasion_of_Iran,Anglo-Soviet invasion of Iran,1.0,,,,,
1320,6,9,کمال خان هوت، خواننده,"[{'text': 'کمال خان هوت', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%85%D8%A7%D9%84_%D8%AE%D8%A7%D9%86_%D9%87%D9%88%D8%AA'}]",1941,8,31,https://fa.wikipedia.org/wiki/%DA%A9%D9%85%D8%A7%D9%84_%D8%AE%D8%A7%D9%86_%D9%87%D9%88%D8%AA,https://en.wikipedia.org/wiki/Mulla_Kamal_Khan,Mulla Kamal Khan,,,,,,
1320,6,11,محسن قاضی مرادی، بازیگر سینما و تلویزیون,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1941,9,2,,,"Mohsen Ghazi Moradi, actor of cinema and television",,,,,,
1320,6,25,برکناری رضاشاه و آغاز پادشاهی محمدرضا پهلوی,"[{'text': 'محمدرضا پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%D9%BE%D9%87%D9%84%D9%88%DB%8C'}]",1941,9,16,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%D9%BE%D9%87%D9%84%D9%88%DB%8C,https://en.wikipedia.org/wiki/Mohammad_Reza_Pahlavi,Mohammad Reza Pahlavi,,,,,,
1320,6,30,دو وزارت خانه جدید بنام «وزارت بهداری» و «وزارت کشاورزی» تشکیل شد و لایحه آن تسلیم مجلس گردید.,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'لایحه', 'url': 'https://fa.wikipedia.org/wiki/%D9%84%D8%A7%DB%8C%D8%AD%D9%87'}, {'text': 'مجلس', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3'}, {'text': 'وزارت', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%B2%D8%A7%D8%B1%D8%AA'}]",1941,9,21,,,"Two new ministries, the Ministry of Health and the Ministry of Agriculture, were formed and the bill was submitted to parliament.",1.0,,,,,
1320,5,7,دولت ایران در پاسخ به اخطاریه ۱۳ روز پیش بریتانیا و شوروی که اتباع آلمانی باید اخراج شوند گفت جای نگرانی نداشته باشند.,"[{'text': 'بریتانیا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%B1%DB%8C%D8%AA%D8%A7%D9%86%DB%8C%D8%A7'}, {'text': 'شوروی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF_%D8%AC%D9%85%D8%A7%D9%87%DB%8C%D8%B1_%D8%B4%D9%88%D8%B1%D9%88%DB%8C'}]",1941,7,29,,,"The Iranian government said in response to the notice of the United Kingdom and the Soviet Union that German nationals should be fired, saying they would not have to worry.",1.0,,,,,
1321,6,11,نام ادارهٔ امنیه به ادارهٔ ژاندارمری تغییر داده شد,[],1942,9,2,,,The name of the Security Department was renamed the Gendarmerie Bureau,,,,,,
1321,9,17,اوج شورش نان در تهران,"[{'text': 'تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'شورش نان در تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D9%86%D8%A7%D9%86_%D8%AF%D8%B1_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}]",1942,12,8,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%B4_%D9%86%D8%A7%D9%86_%D8%AF%D8%B1_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,<No English page found>,Peak of Bread Rebellion in Tehran,,,,,,
1321,11,28,آغاز نخست‌وزیری علی سهیلی,"[{'text': 'علی سهیلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B3%D9%87%DB%8C%D9%84%DB%8C'}]",1943,2,17,https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B3%D9%87%DB%8C%D9%84%DB%8C,https://en.wikipedia.org/wiki/Ali_Soheili,Ali Soheili,,,,,,
1322,8,22,فرانکلین دلانو روزولت رئیس جمهور آمریکا برای شرکت در نشست سران متفقین در تهران با ناو جنگی آیوا عازم ایران شد.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'فرانکلین دلانو روزولت', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%86%DA%A9%D9%84%DB%8C%D9%86_%D8%AF%D9%84%D8%A7%D9%86%D9%88_%D8%B1%D9%88%D8%B2%D9%88%D9%84%D8%AA'}]",1943,11,14,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%86%DA%A9%D9%84%DB%8C%D9%86_%D8%AF%D9%84%D8%A7%D9%86%D9%88_%D8%B1%D9%88%D8%B2%D9%88%D9%84%D8%AA,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,Franklin D. Roosevelt,,,,,,
1322,9,6,آغاز برگزاری کنفرانس تهران,"[{'text': 'کنفرانس تهران', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}]",1943,11,28,https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Tehran_Conference,Tehran Conference,,,,,,
1322,9,0,۶ تا ۹ - برگزاری کنفرانس تهران با شرکت چرچیل، روزولت و استالین,"[{'text': 'استالین', 'url': 'https://fa.wikipedia.org/wiki/%DA%98%D9%88%D8%B2%D9%81_%D8%A7%D8%B3%D8%AA%D8%A7%D9%84%DB%8C%D9%86'}, {'text': 'روزولت', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%86%DA%A9%D9%84%DB%8C%D9%86_%D8%AF%D9%84%D8%A7%D9%86%D9%88_%D8%B1%D9%88%D8%B2%D9%88%D9%84%D8%AA'}, {'text': 'چرچیل', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%DB%8C%D9%86%D8%B3%D8%AA%D9%88%D9%86_%DA%86%D8%B1%DA%86%DB%8C%D9%84'}, {'text': 'کنفرانس تهران', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}]",1943,11,23,https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Tehran_Conference,Tehran Conference,,,,,,
1323,5,14,پایان نخستین کنگره حزب توده.,"[{'text': 'حزب توده', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A8_%D8%AA%D9%88%D8%AF%D9%87_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]",1944,8,5,https://fa.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A8_%D8%AA%D9%88%D8%AF%D9%87_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Tudeh_Party_of_Iran,Tudeh Party of Iran,1.0,,,,,
1324,2,17,تسلیم بدون قید و شرط آلمان نازی و پایان جنگ جهانی دوم در اروپا,"[{'text': 'آلمان نازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D9%84%D9%85%D8%A7%D9%86_%D9%86%D8%A7%D8%B2%DB%8C'}, {'text': 'جنگ جهانی دوم', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%D8%AF%D9%88%D9%85'}]",1945,5,7,https://fa.wikipedia.org/wiki/%D8%A2%D9%84%D9%85%D8%A7%D9%86_%D9%86%D8%A7%D8%B2%DB%8C,https://en.wikipedia.org/wiki/Nazi_Germany,Nazi Germany,1.0,,,,,
1324,5,14,بمباران اتمی هیروشیما توسط آمریکا.,"[{'text': 'بمباران اتمی هیروشیما', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D9%86_%D8%A7%D8%AA%D9%85%DB%8C_%D9%87%DB%8C%D8%B1%D9%88%D8%B4%DB%8C%D9%85%D8%A7_%D9%88_%D9%86%D8%A7%DA%AF%D8%A7%D8%B3%D8%A7%DA%A9%DB%8C'}]",1945,8,5,https://fa.wikipedia.org/wiki/%D8%A8%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D9%86_%D8%A7%D8%AA%D9%85%DB%8C_%D9%87%DB%8C%D8%B1%D9%88%D8%B4%DB%8C%D9%85%D8%A7_%D9%88_%D9%86%D8%A7%DA%AF%D8%A7%D8%B3%D8%A7%DA%A9%DB%8C,https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki,Atomic bombings of Hiroshima and Nagasaki,,,,,,
1324,5,24,آغاز قیام افسران خراسان,"[{'text': 'قیام افسران خراسان', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D9%85_%D8%A7%D9%81%D8%B3%D8%B1%D8%A7%D9%86_%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86'}]",1945,8,15,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D9%85_%D8%A7%D9%81%D8%B3%D8%B1%D8%A7%D9%86_%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86,<No English page found>,The beginning of the uprising of the Khorasan officers,,,,,,
1324,5,25,بنیان‌گذاری حزب دموکرات کردستان ایران,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'حزب دموکرات کردستان ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A8_%D8%AF%D9%85%D9%88%DA%A9%D8%B1%D8%A7%D8%AA_%DA%A9%D8%B1%D8%AF%D8%B3%D8%AA%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]",1945,8,16,https://fa.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A8_%D8%AF%D9%85%D9%88%DA%A9%D8%B1%D8%A7%D8%AA_%DA%A9%D8%B1%D8%AF%D8%B3%D8%AA%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Democratic_Party_of_Iranian_Kurdistan,Democratic Party of Iranian Kurdistan,1.0,,,,,
1324,6,12,بنیان‌گذاری فرقه دموکرات آذربایجان,"[{'text': 'آذر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1'}, {'text': 'فرقه دموکرات آذربایجان', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%82%D9%87_%D8%AF%D9%85%D9%88%DA%A9%D8%B1%D8%A7%D8%AA_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86'}]",1945,9,3,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%82%D9%87_%D8%AF%D9%85%D9%88%DA%A9%D8%B1%D8%A7%D8%AA_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86,https://en.wikipedia.org/wiki/Azerbaijani_Democratic_Party,Azerbaijani Democratic Party,,,,,,
1324,7,1,افتتاح سینما رکس در خیابان لاله‌زار تهران,"[{'text': 'تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'خیابان لاله\u200cزار', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86_%D9%84%D8%A7%D9%84%D9%87%E2%80%8C%D8%B2%D8%A7%D8%B1'}]",1945,9,23,https://fa.wikipedia.org/wiki/%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86_%D9%84%D8%A7%D9%84%D9%87%E2%80%8C%D8%B2%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Laleh-Zar_Street,Laleh-Zar Street,,,,,,
1324,7,4,بنیان‌گذاری باشگاه فوتبال استقلال تهران,"[{'text': 'باشگاه فوتبال استقلال تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}]",1945,9,26,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Esteghlal_F.C.,Esteghlal F.C.,,,,,,1.0
1324,9,21,اعلام تشکیل دولت فرقه دموکرات آذربایجان، در تبریز و اعلام نخست‌وزیری جعفر پیشه‌وری در آن,"[{'text': 'آذر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1'}, {'text': 'تبریز', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2'}]",1945,12,12,,,Announcing the formation of the Azerbaijani Democratic State in Tabriz and the prime minister of Ja'far Pishouri,1.0,,,,,
1324,11,2,تأسیس جمهوری مهاباد به رهبری قاضی محمد در شهر مهاباد در ایران,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'جمهوری مهاباد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D9%85%D9%87%D8%A7%D8%A8%D8%A7%D8%AF'}, {'text': 'قاضی محمد', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D8%A7%D8%B6%DB%8C_%D9%85%D8%AD%D9%85%D8%AF'}, {'text': 'مهاباد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%A7%D8%A8%D8%A7%D8%AF'}]",1946,1,22,https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D9%85%D9%87%D8%A7%D8%A8%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Republic_of_Mahabad,Republic of Mahabad,,,,,,
1324,12,12,اعتراض دکتر محمد مصدق، نماینده تهران در مجلس شورای ملی، به شوروی که حاضر به خارج ساختن نیروهایش از ایران نمی‌شد.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'مجلس شورای ملی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C'}, {'text': 'محمد مصدق', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%B5%D8%AF%D9%82'}]",1946,3,3,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,National Consultative Assembly,1.0,1.0,,,,
1324,12,20,ترور احمد کسروی,"[{'text': 'احمد کسروی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%A9%D8%B3%D8%B1%D9%88%DB%8C'}, {'text': 'ترور احمد کسروی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D8%B1%D9%88%D8%B1_%D8%A7%D8%AD%D9%85%D8%AF_%DA%A9%D8%B3%D8%B1%D9%88%DB%8C'}]",1946,3,11,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%A9%D8%B3%D8%B1%D9%88%DB%8C,https://en.wikipedia.org/wiki/Ahmad_Kasravi,Ahmad Kasravi,,,,,,
1324,11,4,لندن - ویشینسکی معاون کمیسر امور خارجه شوروی هر نوع دخالت را در اوضاع داخلی ایران انکار می‌کند.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'شوروی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF_%D8%AC%D9%85%D8%A7%D9%87%DB%8C%D8%B1_%D8%B4%D9%88%D8%B1%D9%88%DB%8C'}, {'text': 'لندن', 'url': 'https://fa.wikipedia.org/wiki/%D9%84%D9%86%D8%AF%D9%86'}]",1946,1,24,,,"London - Vishinsky, deputy commander of the Soviet Foreign Affairs Commissioner, denies any interference in Iran's internal situation.",,,,,,
1325,1,9,ایران دارای شورای عالی اقتصاد شد.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]",1946,3,29,,,Iran had the Supreme Economic Council.,,,,,,
1325,2,11,تظاهرات کارگران کرمانشاه به مناسبت روز جهانی کارگر مورد حملهٔ پلیس قرار گرفت. در این تظاهرات ۱۴ کارگر کشته و ۱۲۰ کارگر زخمی شدند,"[{'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'روز جهانی کارگر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%DA%A9%D8%A7%D8%B1%DA%AF%D8%B1'}, {'text': 'کرمانشاه', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D9%85%D8%A7%D9%86%D8%B4%D8%A7%D9%87'}]",1946,5,1,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%DA%A9%D8%A7%D8%B1%DA%AF%D8%B1,https://en.wikipedia.org/wiki/International_Workers%27_Day,<No English name found>,,1.0,,,,
1325,2,25,بنیان‌گذاری باشگاه فوتبال برق شیراز,"[{'text': 'باشگاه فوتبال برق شیراز', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A8%D8%B1%D9%82_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2'}]",1946,5,15,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B4%DA%AF%D8%A7%D9%87_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A8%D8%B1%D9%82_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2,https://en.wikipedia.org/wiki/Bargh_Shiraz_F.C.,Bargh Shiraz F.C.,,,,,,1.0
1325,4,4,برگزاری نخستین کنگره نویسندگان ایران با شرکت ادیبان و محققان بزرگی چون ملک الشعرای بهار، علی‌اکبر دهخدا، بدیع الزمان فروزانفر,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'دهخدا', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%AF%D9%87%D8%AE%D8%AF%D8%A7'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'فروزانفر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%AF%DB%8C%D8%B9%E2%80%8C%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%86_%D9%81%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%81%D8%B1'}, {'text': 'ملک الشعرای بهار', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%A8%D9%87%D8%A7%D8%B1'}]",1946,6,25,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AA%D9%82%DB%8C_%D8%A8%D9%87%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Mohammad-Taqi_Bahar,Mohammad-Taqi Bahar,,,,,,
1325,4,29,لوئی سایان دبیر مسئول سندیکای کارگری جهان وارد تهران شد.,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1946,7,20,,,"Louis Seyan, the secretary of the World Workers' Union, arrived in Tehran.",,,,,,
1325,7,25,محمدرضا شاه پهلوی آزمایشی از فرودگاه بین‌المللی مهرآباد به فرودگاه دوشان‌تپه انجام داد و گواهی‌نامهٔ خلبانی دریافت کرد,"[{'text': 'فرودگاه بین\u200cالمللی مهرآباد', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%88%D8%AF%DA%AF%D8%A7%D9%87_%D8%A8%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D9%85%D9%84%D9%84%DB%8C_%D9%85%D9%87%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF'}]",1946,10,17,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%88%D8%AF%DA%AF%D8%A7%D9%87_%D8%A8%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D9%85%D9%84%D9%84%DB%8C_%D9%85%D9%87%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Mehrabad_International_Airport,Mehrabad International Airport,,,,,,
1325,8,2,دوربین عکاسی نصب شده بر روی موشک وی ۲-شماره ۱۳، اولین تصویر از زمین از خارج از جو زمین را گرفت.,"[{'text': 'زمین', 'url': 'https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86'}, {'text': 'موشک', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%88%D8%B4%DA%A9'}]",1946,10,24,,,The camera mounted on the 2-Count 2 missile captured the first image of the Earth from the Earth's atmosphere.,,,,,,
